state,city,avg_rating,rating_variance,avg_price,n_restaurants,avg_review_count
LA,Monroe,3.6485000000000003,0.968439949748744,1.5901639344262295,200,40.205
LA,New Orleans,4.277,0.07966934673366832,2.269230769230769,200,1373.6
LA,Shreveport,4.0705,0.3254067839195983,1.8625954198473282,200,110.83
MA,Boston,4.1415,0.09811834170854254,2.4375,200,943.12
MA,Brockton,3.8355,0.48019070351758814,1.628787878787879,200,94.945
MA,Cambridge,4.171,0.110913567839196,2.1733333333333333,200,496.19
MA,Fall River,4.084,0.20778291457286427,1.7638888888888888,200,128.145
MA,Lowell,3.947,0.38401105527638085,1.62015503875969,200,106.025
MA,Lynn,4.0225,0.30627512562814024,1.7841726618705036,200,187.975
MA,New Bedford,4.0,0.3220100502512567,1.6524822695035462,200,82.375
MA,Quincy,4.048,0.17115175879396963,2.045112781954887,200,392.7
MA,Springfield,4.1015,0.27240979899497514,1.792,200,106.49
MA,Worcester,4.1485,0.26301281407035154,1.7322834645669292,200,159.505
MD,Baltimore,4.2805,0.09202989949748736,2.2098765432098766,200,474.92
MD,Bethesda,4.078,0.18865929648241217,2.0617283950617282,200,358.125
MD,Columbia,4.1275,0.18592336683417082,2.0569620253164556,200,335.345
MD,Frederick,4.0489999999999995,0.2237175879396979,1.8613138686131387,200,178.005
MD,Gaithersburg,4.0335,0.22294246231155743,1.92,200,307.44
MD,Germantown,4.0665,0.3306811557788946,1.9657534246575343,200,317.965
MD,Glen Burnie,4.121,0.20830050251256296,2.031847133757962,200,365.845
MD,Rockville,4.216,0.12305929648241211,1.9597315436241611,200,414.89
MD,Silver Spring,4.0955,0.2125927135678391,1.9155844155844155,200,340.535
MD,Waldorf,3.2714999999999996,1.099334422110553,1.6307692307692307,200,101.08
ME,Auburn,2.7765,2.4900479899497516,1.4752475247524752,200,29.075
ME,Augusta,3.012121212121212,2.312371038630581,1.5384615384615385,132,42.03787878787879
ME,Bangor,3.5395,1.1631052763819114,1.6062992125984252,200,52.965
ME,Biddeford,3.8510000000000004,0.625426130653266,1.725,200,80.1
ME,Lewiston,2.9135000000000004,2.216349497487437,1.4594594594594594,200,30.385
ME,Portland,4.2844999999999995,0.10433140703517593,2.0285714285714285,200,329.735
ME,Saco,3.6555,1.1470047738693472,1.5925925925925926,200,69.195
ME,Sanford,3.3041666666666667,1.98519366197183,1.34375,72,29.52777777777778
ME,South Portland,4.2775,0.1117022613065325,2.0814814814814815,200,326.075
ME,Westbrook,4.253,0.15466432160804008,2.015151515151515,200,283.33
MI,Ann Arbor,4.024,0.21781306532663333,1.8926174496644295,200,277.615
MI,Dearborn,4.23,0.14020100502512564,1.9420289855072463,200,253.385
MI,Detroit,4.1955,0.12505502512562802,2.0866666666666664,200,356.495
MI,Flint,3.86,0.43869346733668446,1.5107913669064748,200,56.345
MI,Grand Rapids,4.295,0.1324371859296483,1.9241379310344828,200,205.94
MI,Lansing,4.0465,0.2794851758793968,1.6014492753623188,200,108.09
MI,Livonia,4.0695,0.23891432160804046,1.8246753246753247,200,220.695
MI,Sterling Heights,4.194,0.20378291457286413,1.8680555555555556,200,220.55
MI,Troy,4.0985000000000005,0.17180678391959792,2.0839160839160837,200,266.665
MI,Warren,4.176,0.223340703517588,1.8244274809160306,200,224.395
MN,Bloomington,4.112,0.17523216080402015,2.0277777777777777,200,283.285
MN,Brooklyn Park,3.845,0.40188442211055214,1.7230769230769232,200,92.325
MN,Duluth,3.7275,0.8196922110552757,1.7024793388429753,200,85.515
MN,Eagan,4.16,0.19969849246231142,2.0,200,262.69
MN,Maple Grove,3.532,0.9682170854271355,1.72992700729927,200,93.63
MN,Minneapolis,4.249,0.10934572864321628,2.2550335570469797,200,394.53
MN,Plymouth,4.14,0.18824120603015065,2.152173913043478,200,305.37
MN,Rochester,3.88,0.4691457286432159,1.6666666666666667,200,79.755
MN,Saint Paul,4.209,0.15328542713567841,1.9791666666666667,200,224.03
MN,Woodbury,3.46,0.856683417085427,1.5511811023622046,200,83.75
MO,Blue Springs,3.3045,1.1995273869346748,1.5086206896551724,200,57.14
MO,Columbia,3.8680000000000003,0.3998753768844224,1.6587301587301588,200,87.045
MO,Independence,3.83,0.4858291457286433,1.5508474576271187,200,76.075
MO,Kansas City,4.2975,0.11813442211055283,2.1392405063291138,200,396.49
MO,Lee's Summit,3.4665,0.9093746231155774,1.5317460317460319,200,72.98
